,paper_id,author_name,author_affiliation,authorId,affiliation_type_auto,affiliation_type_full
3162,a15421b034d3c75043190bbe4de28540f403f99c,Ziyi Yang,Stanford University,121937604,Academic,Academic
2520,89d15c9de3608157ff746af7368556149b50e037,Ruobing Xie,,3360722,,
2521,89d15c9de3608157ff746af7368556149b50e037,Maosong Sun,,1753344,,
2522,89d15c9de3608157ff746af7368556149b50e037,Fen Lin,,1924873901,,
2523,89d15c9de3608157ff746af7368556149b50e037,Leyu Lin,,4950224,,
2524,b180d495ce7106c7540da13680db4f6f1f34c41e,Zhihong Xu,,2136361185,,
2525,b180d495ce7106c7540da13680db4f6f1f34c41e,Manjari Banerjee,,100482676,,
2526,b180d495ce7106c7540da13680db4f6f1f34c41e,Gilbert Ramirez,,2054264798,,
2527,b180d495ce7106c7540da13680db4f6f1f34c41e,Gang Zhu,,2087630422,,
2528,b180d495ce7106c7540da13680db4f6f1f34c41e,K. Wijekumar,,1731501,,
2529,e71bad8821a2c896d84418dcb3b0d80bd661c7bf,Boyuan Pan,,40062166,,
3165,a15421b034d3c75043190bbe4de28540f403f99c,Daniel Matthew Cer,University of California at Berkeley,46724030,Academic,Academic
2531,e71bad8821a2c896d84418dcb3b0d80bd661c7bf,Zhou Zhao,,47122432,,
2532,e71bad8821a2c896d84418dcb3b0d80bd661c7bf,Yueting Zhuang,,143749205,,
2533,e71bad8821a2c896d84418dcb3b0d80bd661c7bf,Deng Cai,,1724421,,
2534,e71bad8821a2c896d84418dcb3b0d80bd661c7bf,Xiaofei He,,3945955,,
3167,a15421b034d3c75043190bbe4de28540f403f99c,Eric F Darve,Stanford,3195327,Academic,Academic
3182,3199b35d570c17c6eedd5e538333cb3410e89b67,Cheng-I Lai,Massachusetts Institute of Technology,51266409,Academic,Academic
3185,3199b35d570c17c6eedd5e538333cb3410e89b67,Shang-Wen Li,MIT,2530311,Academic,Academic
2538,3febb2bed8865945e7fddc99efd791887bb7e14f,Mohit Iyyer,,2136562,,
3196,54523ff961a1ac57a86696ef9a53b3a630b482c0,Tristan Naumann,"Computer Science and Artificial Intelligence Lab, Massachusetts Institute of Technology, Cambridge, MA, USA",40466858,Academic,Academic
3201,b42c6cfadfaf1209346a41f1cf766f3d0c09aa3c,Minghui Qiu,Singapore Management University,2642333,Academic,Academic
2541,3febb2bed8865945e7fddc99efd791887bb7e14f,Kenton Lee,,2544107,,
3238,57b4270a28adf8518da0d2621ad73e9f2a38e202,Alexandra Chronopoulou,LMU Munich,3379701,Academic,Academic
3242,1187c70c4011f935642084e84186284ac0add3d0,Andrea Madotto,The Hong Kong University of Science and Technology,3064807,Academic,Academic
2544,2f11dbbb9e8a93e848cbd24f0bd5c935ca87bb42,W. Holmes,,2052973902,,
2545,2f11dbbb9e8a93e848cbd24f0bd5c935ca87bb42,M. Parker,,91792622,,
2546,f95fa6d4d80907dc22c48673c0c272491f304014,Hoang-Quynh Le,,2377829,,
3244,e7246557d6cc04bebdfbba473c130d323e415ccd,Christos Baziotis,University of Edinburgh,40928701,Academic,Academic
2548,f95fa6d4d80907dc22c48673c0c272491f304014,Sinh T. Vu,,81107361,,
2549,f95fa6d4d80907dc22c48673c0c272491f304014,T. Dang,,3357859,,
2550,f95fa6d4d80907dc22c48673c0c272491f304014,Mohammad Taher Pilehvar,,1717641,,
2551,f95fa6d4d80907dc22c48673c0c272491f304014,Nigel Collier,,3072167,,
2552,9734f241b9a3bc1b2ecaf644d34e787cf987b7cc,Bin Wang,,,,
2553,9734f241b9a3bc1b2ecaf644d34e787cf987b7cc,Zhijian Ou,,1717830,,
2554,9734f241b9a3bc1b2ecaf644d34e787cf987b7cc,Z. Tan,,9168263,,
2555,0d8566dd503e5ca52e981f49f682b6d0de6186c2,Abdulaziz M. Alayba,,9536941,,
2556,0d8566dd503e5ca52e981f49f682b6d0de6186c2,V. Palade,,145940006,,
2557,0d8566dd503e5ca52e981f49f682b6d0de6186c2,M. England,,152261411,,
2558,0d8566dd503e5ca52e981f49f682b6d0de6186c2,R. Iqbal,,144274144,,
3271,6a47df76943f849cd47be65ee6c56a62ca38c666,Katsuhito Sudoh,Nara Institute of Science and Technology (NAIST),1790811,Academic,Academic
2560,3ff6f2261d372c986be2f78a3b7c1d249c39c2ba,M. G. D. L. Banda,,144684983,,
2561,3ff6f2261d372c986be2f78a3b7c1d249c39c2ba,A. Schutt,,46954251,,
3276,9793b07ba09d9f2ac9cabd8117daa93bf3db4346,Rujun Han,University of Southern California,51518773,Academic,Academic
3282,cdeb2ced6e59198d16acbf9cb025d60df9c0e087,Xiangyu Peng,Georgia Tech,2115814529,Academic,Academic
2564,9cb62095cc0a0d07b677e9561121df7c4099db2e,Y. ShweSin,,52137373,,
2565,9cb62095cc0a0d07b677e9561121df7c4099db2e,K. Soe,,2385954,,
2566,9cb62095cc0a0d07b677e9561121df7c4099db2e,Khin Yadanar Htwe,,52157925,,
